ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
34613,0.035,0.054,1.007,0.488,0.061,-0.122
34665,0.038,0.067,1.017,1.831,0.000,-0.122
34694,0.039,0.064,1.001,1.953,0.000,-0.244
34720,0.038,0.050,1.002,1.648,-0.061,-0.122
34755,0.036,0.038,1.006,1.343,-0.061,0.000
34778,0.036,0.046,1.001,0.916,0.061,0.000
34807,0.039,0.047,1.008,0.549,0.122,-0.183
34835,0.039,0.047,1.004,0.488,0.061,-0.183
34864,0.039,0.048,1.006,0.305,0.061,0.000
34893,0.039,0.050,1.007,0.244,0.000,-0.061
34922,0.036,0.054,1.008,0.244,0.061,-0.122
34950,0.035,0.059,1.008,0.549,0.061,-0.061
34979,0.037,0.057,1.009,0.854,-0.122,-0.122
35037,0.039,0.047,1.006,0.916,0.000,-0.061
35067,0.039,0.045,1.006,0.732,0.061,-0.061
35094,0.038,0.047,1.005,0.488,0.061,-0.061
35121,0.035,0.046,1.006,0.427,0.000,-0.061
35148,0.033,0.047,1.005,0.366,0.000,-0.061
35175,0.034,0.050,1.005,0.183,0.061,-0.061
35204,0.039,0.055,1.008,0.244,0.122,-0.122
35232,0.042,0.056,1.007,0.488,0.061,-0.122
35262,0.040,0.053,1.007,0.610,0.000,0.000
35289,0.038,0.049,1.008,0.671,0.061,-0.061
35315,0.035,0.047,1.005,0.610,0.000,-0.122
35342,0.034,0.047,1.005,0.427,0.000,0.000
35399,0.037,0.049,1.006,0.305,0.000,0.000
35425,0.040,0.051,1.008,0.305,-0.061,-0.061
35452,0.042,0.052,1.006,0.427,0.000,-0.061
35482,0.040,0.053,1.009,0.427,0.000,-0.122
35510,0.037,0.052,1.008,0.488,0.000,-0.061
35540,0.043,0.057,1.007,0.366,0.000,-3.357
35567,0.036,0.056,1.006,0.366,-0.671,-25.696
35594,0.033,0.032,1.005,0.244,-0.244,-17.151
35621,0.020,0.043,1.008,-0.061,0.000,-4.700
35650,0.043,0.051,1.007,0.366,0.061,0.671
35675,0.040,0.051,1.005,0.366,0.061,-0.183
35722,0.036,0.052,1.008,0.305,0.061,-0.061
35750,0.037,0.054,1.008,0.488,0.000,-0.061
35779,0.039,0.050,1.006,0.671,0.000,0.000
35806,0.039,0.048,1.006,0.549,0.000,-0.061
35911,0.036,0.049,1.007,0.305,0.000,-0.061
35962,0.039,0.051,1.007,0.427,0.000,0.000
35989,0.038,0.050,1.007,0.488,0.061,-0.061
36018,0.040,0.052,1.006,-0.061,0.244,0.000
36045,0.039,0.045,1.004,1.099,-0.671,0.977
36073,0.040,0.068,1.009,-0.122,-0.061,-1.709
36103,0.066,0.046,1.004,-1.343,0.488,-14.709
36130,-0.005,-0.049,1.036,-8.850,0.244,-14.954
36185,-0.002,0.107,1.036,-73.914,-3.418,-41.931
36213,-0.013,0.131,1.113,-45.532,-15.015,6.592
36241,-0.151,0.110,1.462,-12.207,-68.542,18.555
36271,-0.065,0.076,1.270,105.591,-112.976,28.259
36299,-0.184,-0.002,1.115,99.915,-117.554,-4.028
36333,-0.186,0.037,1.200,107.300,-91.064,-14.709
36361,-0.180,0.152,0.905,217.285,-67.932,26.855
36388,-0.204,-0.401,0.874,212.646,18.738,26.489
36417,-0.216,0.001,0.944,92.407,51.331,-10.132
36445,-0.018,-0.296,1.108,121.033,30.396,-12.390
36474,-0.142,-0.192,1.002,249.329,-51.331,6.653
36530,0.020,-0.421,0.664,169.983,-57.678,31.982
36559,-0.208,-0.463,0.558,144.653,-15.320,26.917
36588,-0.085,-0.611,0.829,159.912,-18.616,46.631
36618,-0.110,-0.767,0.589,208.130,-51.758,38.025
36644,-0.175,-0.893,0.315,194.641,-53.223,19.470
36677,-0.240,-0.623,0.310,95.154,-22.522,11.108
36706,-0.135,-0.816,0.192,151.611,-27.771,38.269
36735,-0.265,-0.878,0.007,155.640,-15.930,38.147
36762,-0.215,-0.907,0.188,205.749,62.683,46.448
36787,0.023,-0.828,0.287,165.283,69.519,39.673
36840,-0.092,-1.090,-0.101,158.081,5.493,28.015
36867,-0.060,-1.071,0.025,106.812,33.569,24.292
36895,0.037,-1.010,0.041,205.261,63.599,8.911
36923,0.009,-0.861,-0.086,73.364,-2.625,0.244
36949,-0.095,-1.091,-0.292,58.838,-1.465,13.977
36976,-0.077,-1.214,-0.145,39.185,18.799,-7.202
37003,0.014,-1.003,-0.242,39.429,-13.672,-13.184
37031,-0.098,-1.146,-0.280,-2.502,-14.893,-12.573
37056,-0.039,-1.153,-0.319,-68.726,-7.080,-5.493
37084,-0.121,-1.150,-0.268,-116.028,8.362,-9.583
37109,-0.107,-1.241,-0.110,-256.470,24.658,16.357
37163,-0.034,-1.038,0.106,-210.510,30.273,-47.119
37189,-0.032,-0.793,0.244,-179.565,25.146,-31.189
37219,-0.132,-0.845,0.224,-235.535,13.184,-5.920
37246,-0.144,-0.797,0.318,-272.034,40.100,6.714
37274,-0.033,-0.587,0.428,-134.705,25.269,13.245
37303,-0.166,-0.530,0.378,-191.772,15.320,44.922
37330,-0.113,-0.862,0.635,-250.061,49.805,46.631
37358,0.036,-0.527,0.744,-208.374,54.565,28.320
37388,-0.012,-0.212,0.485,-167.297,-3.784,40.283
37414,-0.060,-0.603,0.572,-216.248,41.565,70.496
37542,0.148,-0.253,1.195,-119.019,71.777,5.859
37594,0.140,0.062,0.660,-78.430,-17.395,41.077
37621,0.122,-0.279,1.069,-54.687,43.884,28.931
37656,0.241,-0.015,1.306,-25.635,-20.020,-6.775
37683,0.292,0.282,0.939,-36.255,-27.954,11.536
37713,0.175,-0.003,0.876,-59.021,-23.865,41.138
37741,0.133,-0.077,1.275,-34.363,18.799,9.827
37767,0.210,0.177,1.023,2.747,-39.978,15.869
37792,0.102,-0.078,0.773,-22.705,-22.705,14.771
37825,0.003,-0.085,1.078,-19.775,-8.972,2.380
37852,0.090,0.102,1.210,5.005,13.062,-7.874
37899,0.110,-0.157,0.876,-36.316,-15.442,2.197
37928,0.040,-0.105,0.913,-86.670,-10.925,-45.227
37956,-0.005,0.417,1.767,-23.743,-104.431,-42.175
37984,0.122,0.156,0.894,33.325,3.357,11.414
38011,0.075,0.035,1.009,41.748,-0.854,16.174
38039,-0.033,-0.131,1.107,37.720,-4.761,1.648
38064,0.091,0.119,0.993,2.808,-3.418,-31.921
38091,0.067,0.017,1.005,0.427,-1.099,-30.579
38121,-0.002,0.006,1.012,-3.540,-0.366,-42.786
38152,0.028,0.073,1.004,0.061,-1.526,-34.912
38179,0.021,0.071,1.007,0.854,-0.122,-2.563
38202,0.039,0.049,1.005,0.610,0.061,1.587
38257,0.037,0.050,1.006,0.366,0.061,-0.061
38285,0.038,0.051,1.007,0.610,-0.061,-0.122
38312,0.038,0.050,1.006,0.488,0.061,-0.122
38337,0.038,0.051,1.006,0.427,0.061,-0.183
38367,0.037,0.050,1.007,0.305,0.000,-0.061
38393,0.038,0.051,1.007,0.427,0.061,-0.061
38422,0.037,0.051,1.007,0.549,0.122,-0.122
38449,0.038,0.051,1.007,0.488,0.061,-0.061
38477,0.038,0.051,1.006,0.488,0.000,-0.183
38503,0.038,0.049,1.006,0.549,0.000,-0.122
38530,0.037,0.051,1.005,0.488,-0.061,-0.061
38584,0.038,0.051,1.006,0.366,0.122,-0.122
38610,0.039,0.051,1.008,0.305,0.061,-0.061
38637,0.037,0.050,1.005,0.366,0.122,-0.061
38665,0.038,0.051,1.006,0.427,0.000,-0.122
38694,0.038,0.051,1.008,0.366,0.122,-0.122
38722,0.038,0.052,1.008,0.366,0.061,-0.122
38751,0.037,0.052,1.006,0.488,-0.061,-0.061
38778,0.039,0.049,1.006,0.488,0.061,-0.061
38804,0.038,0.049,1.007,0.305,0.000,-0.122
38831,0.038,0.052,1.006,0.488,0.000,-0.061
38858,0.036,0.050,1.006,0.000,0.061,-0.122
38885,0.037,0.052,1.007,0.183,0.061,-0.122
38933,0.039,0.052,1.003,0.244,0.061,-0.122
38960,0.040,0.050,1.003,0.244,-0.061,-0.061
38988,0.040,0.047,1.004,-0.244,0.000,0.061
39018,0.040,0.050,1.008,-0.183,0.061,-0.122
39117,0.036,0.051,1.006,0.000,0.061,-0.061
39170,0.037,0.052,1.009,0.183,0.000,-0.122
39199,0.040,0.054,1.005,0.183,0.000,0.000
39227,0.039,0.057,1.008,0.061,0.000,-0.061
39255,0.038,0.056,1.007,0.366,0.000,-0.061
39280,0.037,0.051,1.005,0.610,0.061,-0.061
39306,0.037,0.051,1.006,0.305,0.061,-0.122
39334,0.037,0.053,1.006,0.244,0.061,-0.061
39384,0.039,0.055,1.008,0.366,0.122,-0.061
39411,0.038,0.054,1.007,0.427,0.000,-0.122
39438,0.036,0.053,1.005,0.488,0.061,0.000
39463,0.038,0.052,1.006,0.488,0.061,-0.122
39493,0.038,0.053,1.008,0.427,0.061,-0.061
39521,0.039,0.053,1.007,0.488,0.061,-0.061
39548,0.039,0.054,1.007,0.427,0.000,-0.061
39576,0.037,0.052,1.006,0.305,0.061,-0.061
39603,0.037,0.053,1.006,0.427,0.061,-0.061
39629,0.037,0.055,1.006,0.427,0.000,-0.122
39657,0.039,0.053,1.007,0.488,0.061,-0.061
39686,0.038,0.053,1.007,0.427,0.000,-0.122
39738,0.037,0.053,1.006,0.488,0.061,-0.122
39765,0.038,0.053,1.007,0.488,-0.061,0.000
39794,0.037,0.055,1.005,0.488,-0.061,-0.122
39822,0.038,0.053,1.006,0.427,0.000,-0.122
39847,0.038,0.052,1.008,0.427,0.000,-0.122
39877,0.038,0.052,1.006,0.427,0.122,-0.122
39904,0.038,0.054,1.005,0.427,-0.061,-0.122
39931,0.037,0.054,1.006,0.427,-0.061,-0.061
39958,0.038,0.053,1.006,0.488,0.061,-0.122
39986,0.038,0.054,1.004,0.427,0.061,-0.122
40013,0.038,0.052,1.007,0.366,0.000,-0.122
40040,0.038,0.052,1.006,0.488,0.000,-0.122
40091,0.038,0.053,1.007,0.366,0.061,0.000
40119,0.039,0.053,1.007,0.488,0.000,-0.183
40145,0.039,0.053,1.007,0.427,0.000,-0.122
40170,0.038,0.053,1.005,0.488,0.000,-0.061
40197,0.036,0.054,1.006,0.427,0.000,-0.061
40224,0.037,0.054,1.005,0.549,-0.061,-0.061
40250,0.038,0.054,1.007,0.366,-0.061,-0.061
40276,0.038,0.053,1.005,0.427,-0.061,-0.061
40305,0.038,0.053,1.006,0.427,0.061,-0.122
40330,0.038,0.053,1.006,0.488,0.000,0.000
40358,0.036,0.055,1.006,0.366,0.061,-0.122
40386,0.037,0.054,1.006,0.549,0.061,-0.061
40436,0.040,0.054,1.005,0.427,0.061,-0.061
40464,0.039,0.055,1.008,0.488,0.000,-0.061
40490,0.038,0.055,1.005,0.549,0.000,-0.122
40520,0.037,0.053,1.007,0.305,0.000,-0.061
40547,0.036,0.054,1.005,0.549,0.000,-0.122
40574,0.037,0.055,1.006,0.549,-0.061,-0.061
40677,0.038,0.053,1.005,0.427,-0.061,-0.061
40730,0.038,0.054,1.007,0.366,0.061,-0.122
40758,0.038,0.053,1.006,0.427,0.000,-0.122
40785,0.038,0.054,1.006,0.366,0.061,-0.061
40812,0.037,0.054,1.007,0.488,-0.061,-0.061
40840,0.039,0.054,1.006,0.488,-0.061,-0.122
40889,0.037,0.052,1.006,0.488,0.000,-0.061
40917,0.038,0.054,1.005,0.427,0.000,-0.061
40944,0.037,0.054,1.008,0.427,0.000,-0.061
40970,0.038,0.053,1.006,0.488,0.000,-0.061
40997,0.039,0.054,1.006,0.427,0.061,-0.122
41025,0.038,0.054,1.007,0.427,-0.061,-0.061
41054,0.037,0.055,1.006,0.488,0.000,-0.061
41081,0.037,0.053,1.006,0.366,0.061,-0.061
41111,0.038,0.053,1.007,0.488,0.000,0.000
41139,0.038,0.052,1.005,0.427,0.000,-0.122
41168,0.037,0.053,1.008,0.427,0.000,-0.122
41195,0.038,0.055,1.007,0.427,-0.061,-0.122
41250,0.037,0.054,1.006,0.549,0.061,-0.061
41276,0.038,0.052,1.006,0.427,0.061,-0.122
41303,0.037,0.053,1.007,0.488,0.000,-0.122
41329,0.038,0.056,1.006,-0.122,0.061,-0.061
41354,0.037,0.055,1.005,0.427,0.061,-0.061
41380,0.038,0.053,1.006,0.793,0.061,-0.122
41407,0.038,0.053,1.007,0.549,-0.061,-0.061
41434,0.039,0.054,1.005,0.427,0.061,-0.061
41462,0.037,0.053,1.006,0.549,0.000,-0.061
41488,0.037,0.053,1.006,0.366,0.000,-0.061
41515,0.037,0.054,1.007,0.305,0.061,-0.183
41566,0.039,0.056,1.006,0.549,0.000,-0.122
41593,0.038,0.053,1.008,0.549,0.000,0.000
41620,0.038,0.052,1.007,0.488,-0.061,-0.061
41647,0.038,0.053,1.006,0.427,0.061,-0.061
41673,0.037,0.053,1.007,0.427,0.061,-0.061
41701,0.037,0.054,1.007,0.427,0.061,-0.122
41729,0.039,0.054,1.005,0.488,0.000,-0.122
41759,0.037,0.053,1.007,0.427,0.061,-0.122
41785,0.038,0.053,1.006,0.366,0.061,-0.122
41811,0.038,0.054,1.006,0.366,0.000,-0.061
41839,0.038,0.054,1.006,0.366,0.122,-0.061
41866,0.038,0.054,1.006,0.488,0.061,-0.122
41918,0.036,0.053,1.006,0.427,0.061,-0.122
41946,0.038,0.053,1.007,0.488,0.000,-0.122
41973,0.038,0.053,1.005,0.488,0.061,-0.061
42002,0.038,0.054,1.007,0.427,0.000,-0.061
42029,0.038,0.053,1.006,0.488,0.000,-0.061
42057,0.038,0.054,1.007,0.488,0.122,-0.061
42085,0.038,0.054,1.006,0.427,0.000,0.000
42112,0.038,0.054,1.005,0.427,0.061,-0.183
42138,0.038,0.053,1.006,0.427,0.000,-0.122
42240,0.037,0.054,1.006,0.427,0.000,-0.122
42290,0.039,0.054,1.006,0.427,0.061,-0.061
42317,0.038,0.053,1.007,0.488,0.061,-0.061
42371,0.038,0.053,1.006,0.366,0.061,-0.183
42399,0.037,0.054,1.006,0.549,0.061,-0.061
42428,0.038,0.052,1.006,0.366,0.061,0.000
42456,0.038,0.053,1.007,0.366,0.000,-0.061
42484,0.038,0.054,1.007,0.427,-0.061,0.000
42511,0.036,0.054,1.006,0.427,0.061,-0.061
42537,0.038,0.054,1.007,0.549,0.061,-0.061
42564,0.037,0.054,1.006,0.366,0.061,-0.122
42592,0.038,0.053,1.006,0.366,0.000,-0.061
42616,0.038,0.053,1.006,0.427,0.061,-0.122
42644,0.037,0.054,1.006,0.488,0.000,-0.122
42671,0.038,0.055,1.005,0.488,0.000,0.000
42720,0.038,0.053,1.007,0.488,0.000,-0.061
42746,0.039,0.055,1.006,0.549,-0.061,-0.061
42776,0.039,0.055,1.007,0.610,0.061,-0.061
42802,0.039,0.052,1.005,0.549,0.061,-0.061
42831,0.038,0.054,1.007,0.366,0.000,-0.122
42858,0.036,0.053,1.006,0.366,-0.061,-0.122
42887,0.038,0.055,1.006,0.549,0.061,-0.061
42914,0.039,0.055,1.007,0.549,0.000,-0.122
42939,0.037,0.052,1.006,0.427,0.000,0.000
42964,0.038,0.053,1.007,0.427,0.061,0.000
42989,0.037,0.054,1.004,0.427,-0.061,-0.061
43019,0.036,0.053,1.007,0.488,0.000,0.000
43071,0.038,0.054,1.005,0.488,0.061,-0.122
43096,0.039,0.052,1.006,0.427,0.000,-0.061
43125,0.038,0.054,1.005,0.488,0.061,-0.061
43151,0.038,0.053,1.007,0.427,0.000,-0.122
43176,0.038,0.053,1.006,0.305,0.061,-0.061
43203,0.038,0.055,1.006,0.488,0.000,-0.061
43228,0.037,0.055,1.007,0.427,0.000,-0.061
43257,0.037,0.054,1.007,0.549,-0.061,-0.061
43284,0.038,0.054,1.005,0.549,0.061,-0.061
43311,0.038,0.053,1.006,0.549,0.061,-0.122
43339,0.038,0.052,1.006,0.427,-0.061,-0.061
43367,0.038,0.054,1.007,0.366,0.061,-0.122
43420,0.035,0.054,1.006,0.488,0.000,-0.122
43448,0.036,0.052,1.007,0.427,0.000,0.000
43476,0.037,0.053,1.005,0.427,0.000,-0.122
43505,0.039,0.054,1.006,0.366,0.000,-0.122
43532,0.040,0.054,1.007,0.427,0.000,-0.061
43560,0.037,0.052,1.006,0.488,0.000,-0.122
43587,0.038,0.054,1.006,0.427,0.000,-0.122
43615,0.038,0.054,1.006,0.488,-0.061,-0.061
43642,0.038,0.053,1.006,0.427,0.061,-0.061
43669,0.038,0.055,1.006,0.427,0.061,-0.183
43697,0.038,0.052,1.006,0.549,0.061,0.000
43794,0.038,0.054,1.008,0.488,0.061,-0.061
43875,0.039,0.053,1.006,0.427,-0.061,0.000
43901,0.037,0.053,1.006,0.366,0.061,-0.122
43927,0.037,0.054,1.007,0.549,0.061,-0.061
43955,0.037,0.054,1.006,0.488,0.061,-0.061
43983,0.038,0.054,1.007,0.488,0.000,0.000
44010,0.037,0.053,1.007,0.488,0.000,0.000
44035,0.039,0.053,1.007,0.488,0.061,-0.122
44063,0.040,0.053,1.006,0.427,0.000,-0.061
44090,0.038,0.054,1.006,0.427,0.000,-0.122
44118,0.037,0.053,1.007,0.488,0.061,-0.122
44144,0.037,0.054,1.006,0.427,0.061,-0.061
44170,0.038,0.054,1.006,0.427,0.061,-0.061
44221,0.040,0.053,1.007,0.488,0.061,-0.061
